CD_NOM,CD_REF,NOM_SCIENTIFIQUE,L,T,C,HA,HE,R,N,S,Tx,MO
86136,86136,"Bombycilaena erecta (L.) Smoljan., 1955",9,7,4,3,3,9,2,0,3,2
610662,610662,"Buglossoides incrassata (Guss.) I.M.Johnst., 1954",8,6,3,3,3,8,3,0,7,2
811033,811033,"Buglossoides incrassata subsp. splitgerberi (Guss.) E.Zippel & Selvi, 2009",8,6,3,3,3,8,3,0,7,2
87027,87027,"Bupleurum baldense Turra, 1764",9,6,3,3,4,9,2,0,3,2
619942,619942,"Minuartia mucronata (L.) Schinz & Thell., 1907",8,7,3,3,3,8,2,0,8,1
130046,130046,"Vulpia unilateralis (L.) Stace, 1978",8,6,4,3,3,8,2,0,4,1
89979,89979,"Cerastium brachypetalum Pers., 1805",9,7,4,3,3,8,4,0,3,2
133089,133089,"Cerastium brachypetalum subsp. brachypetalum Pers., 1805",9,7,4,3,3,8,4,0,3,2
133091,133091,"Cerastium brachypetalum subsp. roeseri (Boiss. & Heldr.) Nyman, 1878",9,8,4,3,3,8,4,0,3,2
90019,90019,"Cerastium glutinosum Fr., 1817",,,,,,,,,,
90091,90091,"Cerastium semidecandrum L., 1753",8,7,4,3,3,6,4,1,4,1
92481,92481,"Corispermum gallicum Iljin, 1929",8,6,6,3,3,5,5,0,4,1
92483,92483,"Corispermum intermedium Schweigg., 1812",7,4,8,3,3,5,3,0,4,1
611097,611097,"Corispermum pallasii Steven, 1814",7,4,1,3,3,5,3,0,4,1
94693,94693,"Dianthus armeria L., 1753",6,5,5,5,5,4,3,0,4,3
99642,99642,"Gamochaeta americana (Mill.) Wedd., 1856",,,,,,,,,,
106229,106229,"Linaria thymifolia (Vahl) DC., 1805",8,6,1,3,3,6,3,1,4,1
137933,137933,"Myosotis ramosissima subsp. lebelii (Nyman) Blaise, 1969",9,6,1,3,3,3,3,1,5,1
113178,113178,"Phleum arenarium L., 1753",9,6,3,3,3,7,3,1,4,1
1001991,1001991,"Sabulina tenuifolia subsp. hybrida (Vill.) Dillenb., 2016",8,5,5,3,3,7,3,0,4,1
140992,140992,"Senecio vulgaris subsp. denticulatus (O.F.MÃ¼ll.) P.D.Sell, 1967",8,4,2,4,3,6,3,0,5,1
123448,123448,"Silene conica L., 1753",9,6,4,3,3,5,3,0,4,1
106149,106149,"Linaria arenaria DC., 1808",8,6,1,7,4,6,3,1,5,1
142459,142459,"Vulpia ciliata subsp. ambigua (Le Gall) Stace & Auquier, 1978",8,5,1,6,4,6,3,1,5,1
134239,134239,"Erodium cicutarium subsp. dunense Andreas, 1947",8,6,3,4,3,7,2,1,4,1
96912,96912,"Erodium lebelii Jord., 1852",8,6,3,4,3,7,2,1,4,1
89998,89998,"Cerastium diffusum Pers., 1805",8,6,2,4,3,5,2,1,4,1
129034,129034,"Veronica verna L., 1753",8,5,6,4,3,7,1,0,4,1
142185,142185,"Veronica verna subsp. verna L., 1753",8,5,6,4,3,7,1,0,4,1
128970,128970,"Veronica praecox All., 1789",8,6,6,3,3,7,1,0,4,1
129032,129032,"Veronica triphyllos L., 1753",7,6,5,3,3,6,3,0,4,1
610746,610746,"Arabidopsis arenosa (L.) Lawalrée, 1960",7,4,6,4,4,5,2,0,6,1
612664,612664,"Arabidopsis arenosa subsp. arenosa (L.) Lawalrée, 1960",7,4,6,4,4,4,2,0,6,1
612663,612663,"Arabidopsis arenosa subsp. borbasii (Zapał‚.) O'Kane & Al-Shehbaz, 1997",8,4,7,4,4,6,2,0,2,1
83375,83375,"Arabis planisiliqua (Pers.) Rchb., 1838",7,6,5,6,6,7,4,0,3,3
99305,99305,"Galeopsis ladanum L., 1753",8,5,5,5,4,8,4,0,7,3
122744,122744,"Senecio viscosus L., 1753",8,6,4,4,3,6,4,0,4,4
99272,99272,"Galeopsis angustifolia Ehrh. ex Hoffm., 1804",8,6,4,5,4,8,4,0,7,3
99329,99329,"Galeopsis segetum Neck., 1770",7,6,4,5,4,4,4,0,7,3
109057,109057,"Myosotis minutiflora Boiss. & Reut., 1852",7,6,4,5,4,4,4,0,7,3
982856,982856,"Myosotis minutiflora subsp. minutiflora Boiss. & Reut., 1852",7,6,4,5,4,4,4,0,7,3
99324,99324,"Galeopsis pyrenaica Bartl., 1848",8,8,3,5,4,8,4,0,7,3
122138,122138,"Sedum candollei Raym.-Hamet, 1929",8,3,3,2,2,4,4,0,7,4
83607,83607,"Arenaria marschlinsii W.D.J.Koch, 1841",8,3,6,5,5,6,5,0,3,3
133184,133184,"Chaenorhinum minus subsp. pseudorubrifolium Gamisans, 1992",7,6,4,4,3,6,4,0,4,3
